type,id,field,oldValue,newValue
user,694e3ddc8eb4e8a4c4b78f4f,profilePhoto,https://cgen-uploads.d79f803373da530d1db903d3798eb2d6.r2.cloudflarestorage.com/1782721111882-cropped-profile-round.jpg,https://pub-59b3f1899cef4072b3613bf9235b7681.r2.dev/1782721111882-cropped-profile-round.jpg
user,694e3ddc8eb4e8a4c4b78f4f,doc[0].filename,https://cgen-uploads.d79f803373da530d1db903d3798eb2d6.r2.cloudflarestorage.com/1782721999197-cropped-eodb-passport.jpg,https://pub-59b3f1899cef4072b3613bf9235b7681.r2.dev/1782721999197-cropped-eodb-passport.jpg
